,word,score
21400,disjointed,-2.0
21401,dislike,-2.0
21402,dismal,-2.0
21403,dismayed,-2.0
21404,disorder,-2.0
21405,disorganized,-2.0
21406,disoriented,-2.0
21407,disparage,-2.0
21408,disparaged,-2.0
21409,disparages,-2.0
21410,disparaging,-2.0
21411,displeased,-2.0
21412,dispute,-2.0
21413,disputed,-2.0
21414,disputes,-2.0
21415,disputing,-2.0
21416,disqualified,-2.0
21417,disquiet,-2.0
21418,disregard,-2.0
21419,disregarded,-2.0
21420,disregarding,-2.0
21421,disregards,-2.0
21422,disrespect,-2.0
21423,disrespected,-2.0
21424,disruption,-2.0
21425,disruptions,-2.0
21426,disruptive,-2.0
21427,dissatisfied,-2.0
21428,distort,-2.0
21429,distorted,-2.0
21430,distorting,-2.0
21431,distorts,-2.0
21432,distract,-2.0
21433,distracted,-2.0
21434,distraction,-2.0
21435,distracts,-2.0
21436,distress,-2.0
21437,distressed,-2.0
21438,distresses,-2.0
21439,distressing,-2.0
21440,distrust,-3.0
21441,distrustful,-3.0
21442,disturb,-2.0
21443,disturbed,-2.0
21444,disturbing,-2.0
21445,disturbs,-2.0
21446,dithering,-2.0
21447,dizzy,-1.0
21448,dodging,-2.0
21449,dodgy,-2.0
21450,does not work,-3.0
21451,dolorous,-2.0
21452,dont like,-2.0
21453,doom,-2.0
21454,doomed,-2.0
21455,doubt,-1.0
21456,doubted,-1.0
21457,doubtful,-1.0
21458,doubting,-1.0
21459,doubts,-1.0
21460,douche,-3.0
21461,douchebag,-3.0
21462,downcast,-2.0
21463,downhearted,-2.0
21464,downside,-2.0
21465,drag,-1.0
21466,dragged,-1.0
21467,drags,-1.0
21468,drained,-2.0
21469,dread,-2.0
21470,dreaded,-2.0
21471,dreadful,-3.0
21472,dreading,-2.0
21473,dream,1.0
21474,dreams,1.0
21475,dreary,-2.0
21476,droopy,-2.0
21477,drop,-1.0
21478,drown,-2.0
21479,drowned,-2.0
21480,drowns,-2.0
21481,drunk,-2.0
21482,dubious,-2.0
21483,dud,-2.0
21484,dull,-2.0
21485,dumb,-3.0
21486,dumbass,-3.0
21487,dump,-1.0
21488,dumped,-2.0
21489,dumps,-1.0
21490,dupe,-2.0
21491,duped,-2.0
21492,dysfunction,-2.0
21493,eager,2.0
21494,earnest,2.0
21495,ease,2.0
21496,easy,1.0
21497,ecstatic,4.0
21498,eerie,-2.0
21499,eery,-2.0
21500,effective,2.0
21501,effectively,2.0
21502,elated,3.0
21503,elation,3.0
21504,elegant,2.0
21505,elegantly,2.0
21506,embarrass,-2.0
21507,embarrassed,-2.0
21508,embarrasses,-2.0
21509,embarrassing,-2.0
21510,embarrassment,-2.0
21511,embittered,-2.0
21512,embrace,1.0
21513,emergency,-2.0
21514,empathetic,2.0
21515,emptiness,-1.0
21516,empty,-1.0
21517,enchanted,2.0
21518,encourage,2.0
21519,encouraged,2.0
21520,encouragement,2.0
21521,encourages,2.0
21522,endorse,2.0
21523,endorsed,2.0
21524,endorsement,2.0
21525,endorses,2.0
21526,enemies,-2.0
21527,enemy,-2.0
21528,energetic,2.0
21529,engage,1.0
21530,engages,1.0
21531,engrossed,1.0
21532,enjoy,2.0
21533,enjoying,2.0
21534,enjoys,2.0
21535,enlighten,2.0
21536,enlightened,2.0
21537,enlightening,2.0
21538,enlightens,2.0
21539,ennui,-2.0
21540,enrage,-2.0
21541,enraged,-2.0
21542,enrages,-2.0
21543,enraging,-2.0
21544,enrapture,3.0
21545,enslave,-2.0
21546,enslaved,-2.0
21547,enslaves,-2.0
21548,ensure,1.0
21549,ensuring,1.0
21550,enterprising,1.0
21551,entertaining,2.0
21552,enthral,3.0
21553,enthusiastic,3.0
21554,entitled,1.0
21555,entrusted,2.0
21556,envies,-1.0
21557,envious,-2.0
21558,envy,-1.0
21559,envying,-1.0
21560,erroneous,-2.0
21561,error,-2.0
21562,errors,-2.0
21563,escape,-1.0
21564,escapes,-1.0
21565,escaping,-1.0
21566,esteemed,2.0
21567,ethical,2.0
21568,euphoria,3.0
21569,euphoric,4.0
21570,eviction,-1.0
21571,evil,-3.0
21572,exaggerate,-2.0
21573,exaggerated,-2.0
21574,exaggerates,-2.0
21575,exaggerating,-2.0
21576,exasperated,2.0
21577,excellence,3.0
21578,excellent,3.0
21579,excite,3.0
21580,excited,3.0
21581,excitement,3.0
21582,exciting,3.0
21583,exclude,-1.0
21584,excluded,-2.0
21585,exclusion,-1.0
21586,exclusive,2.0
21587,excuse,-1.0
21588,exempt,-1.0
21589,exhausted,-2.0
21590,exhilarated,3.0
21591,exhilarates,3.0
21592,exhilarating,3.0
21593,exonerate,2.0
21594,exonerated,2.0
21595,exonerates,2.0
21596,exonerating,2.0
21597,expand,1.0
21598,expands,1.0
21599,expel,-2.0
21600,expelled,-2.0
21601,expelling,-2.0
21602,expels,-2.0
21603,exploit,-2.0
21604,exploited,-2.0
21605,exploiting,-2.0
21606,exploits,-2.0
21607,exploration,1.0
21608,explorations,1.0
21609,expose,-1.0
21610,exposed,-1.0
21611,exposes,-1.0
21612,exposing,-1.0
21613,extend,1.0
21614,extends,1.0
21615,exuberant,4.0
21616,exultant,3.0
21617,exultantly,3.0
21618,fabulous,4.0
21619,fad,-2.0
21620,fag,-3.0
21621,faggot,-3.0
21622,faggots,-3.0
21623,fail,-2.0
21624,failed,-2.0
21625,failing,-2.0
21626,fails,-2.0
21627,failure,-2.0
21628,failures,-2.0
21629,fainthearted,-2.0
21630,fair,2.0
21631,faith,1.0
21632,faithful,3.0
21633,fake,-3.0
21634,fakes,-3.0
21635,faking,-3.0
21636,fallen,-2.0
21637,falling,-1.0
21638,falsified,-3.0
21639,falsify,-3.0
21640,fame,1.0
21641,fan,3.0
21642,fantastic,4.0
21643,farce,-1.0
21644,fascinate,3.0
21645,fascinated,3.0
21646,fascinates,3.0
21647,fascinating,3.0
21648,fascist,-2.0
21649,fascists,-2.0
21650,fatalities,-3.0
21651,fatality,-3.0
21652,fatigue,-2.0
21653,fatigued,-2.0
21654,fatigues,-2.0
21655,fatiguing,-2.0
21656,favor,2.0
21657,favored,2.0
21658,favorite,2.0
21659,favorited,2.0
21660,favorites,2.0
21661,favors,2.0
21662,fear,-2.0
21663,fearful,-2.0
21664,fearing,-2.0
21665,fearless,2.0
21666,fearsome,-2.0
21667,fed up,-3.0
21668,feeble,-2.0
21669,feeling,1.0
21670,felonies,-3.0
21671,felony,-3.0
21672,fervent,2.0
21673,fervid,2.0
21674,festive,2.0
21675,fiasco,-3.0
21676,fidgety,-2.0
21677,fight,-1.0
21678,fine,2.0
21679,fire,-2.0
21680,fired,-2.0
21681,firing,-2.0
21682,fit,1.0
21683,fitness,1.0
21684,flagship,2.0
21685,flees,-1.0
21686,flop,-2.0
21687,flops,-2.0
21688,flu,-2.0
21689,flustered,-2.0
21690,focused,2.0
21691,fond,2.0
21692,fondness,2.0
21693,fool,-2.0
21694,foolish,-2.0
21695,fools,-2.0
21696,forced,-1.0
21697,foreclosure,-2.0
21698,foreclosures,-2.0
21699,forget,-1.0
21700,forgetful,-2.0
21701,forgive,1.0
21702,forgiving,1.0
21703,forgotten,-1.0
21704,fortunate,2.0
21705,frantic,-1.0
21706,fraud,-4.0
21707,frauds,-4.0
21708,fraudster,-4.0
21709,fraudsters,-4.0
21710,fraudulence,-4.0
21711,fraudulent,-4.0
21712,free,1.0
21713,freedom,2.0
21714,frenzy,-3.0
21715,fresh,1.0
21716,friendly,2.0
21717,fright,-2.0
21718,frightened,-2.0
21719,frightening,-3.0
21720,frikin,-2.0
21721,frisky,2.0
21722,frowning,-1.0
21723,frustrate,-2.0
21724,frustrated,-2.0
21725,frustrates,-2.0
21726,frustrating,-2.0
21727,frustration,-2.0
21728,ftw,3.0
21729,fuck,-4.0
21730,fucked,-4.0
21731,fucker,-4.0
21732,fuckers,-4.0
21733,fuckface,-4.0
21734,fuckhead,-4.0
21735,fucking,-4.0
21736,fucktard,-4.0
21737,fud,-3.0
21738,fuked,-4.0
21739,fuking,-4.0
21740,fulfill,2.0
21741,fulfilled,2.0
21742,fulfills,2.0
21743,fuming,-2.0
21744,fun,4.0
21745,funeral,-1.0
21746,funerals,-1.0
21747,funky,2.0
21748,funnier,4.0
21749,funny,4.0
21750,furious,-3.0
21751,futile,2.0
21752,gag,-2.0
21753,gagged,-2.0
21754,gain,2.0
21755,gained,2.0
21756,gaining,2.0
21757,gains,2.0
21758,gallant,3.0
21759,gallantly,3.0
21760,gallantry,3.0
21761,generous,2.0
21762,genial,3.0
21763,ghost,-1.0
21764,giddy,-2.0
21765,gift,2.0
21766,glad,3.0
21767,glamorous,3.0
21768,glamourous,3.0
21769,glee,3.0
21770,gleeful,3.0
21771,gloom,-1.0
21772,gloomy,-2.0
21773,glorious,2.0
21774,glory,2.0
21775,glum,-2.0
21776,god,1.0
21777,goddamn,-3.0
21778,godsend,4.0
21779,good,3.0
21780,goodness,3.0
21781,grace,1.0
21782,gracious,3.0
21783,grand,3.0
21784,grant,1.0
21785,granted,1.0
21786,granting,1.0
21787,grants,1.0
21788,grateful,3.0
21789,gratification,2.0
21790,grave,-2.0
21791,gray,-1.0
21792,great,3.0
21793,greater,3.0
